EstName,PhoneNoEst,EMail,OWNER,MailAddr1,MailAddr2,MailCity,MailZip,EstType1,Description,Location 1
BRUDDAH HUTTS - COMMISSARY,322 NORTH MARTKET STREET,WAILUKU,(808)264-5582,,HATOTA K. TEHIVA,P O BOX 375,96713,COMMISSARY (MASS FEEDING/SUPPORT KITCHENS),,"322 NORTH MARTKET STREET
WAILUKU, HAWAII 96713
(20.772940000280926, -156.01593000006932)"
MAIN SQUEEZE,333 DAIRY ROAD,KAHULUI,(808)385-7594,,SUNSHINE FARM STAND LLC,368 AINAKULA ROAD,96790,COMMISSARY (MASS FEEDING/SUPPORT KITCHENS),,"333 DAIRY ROAD
KAHULUI, HAWAII 96790
(20.882931942151806, -156.45442334564058)"
MAUI DOGHOUSE & SHAVE ICE COMMISSARY,3481 LOWER HONOAPIILANI ROAD,LAHAINA,(808)214-0559,,SUNSHINE VENDING HAWAII LLC,3481 LOWER HONOAPIILANI ROAD,96761,COMMISSARY (MASS FEEDING/SUPPORT KITCHENS),,"3481 LOWER HONOAPIILANI ROAD
LAHAINA, HAWAII 96761
(20.949996986632243, -156.68762457627886)"
KULA KINE - COMMISSARY,1276 LOWER MAIN STREET,WAILUKU,(808)268-2124,,KULA KINE LLC,25 KAPALULU PLACE,96790,COMMISSARY (MASS FEEDING/SUPPORT KITCHENS),,"1276 LOWER MAIN STREET
WAILUKU, HAWAII 96790
(20.896289475042465, -156.49195008914376)"
DA WEENIE WAGON,830 KOLU STREET #4,WAILUKU,(808)875-8844,,"HOT DOG GOURMET LLC, THE",P O BOX 996,96753,COMMISSARY (MASS FEEDING/SUPPORT KITCHENS),,"830 KOLU STREET #4
WAILUKU, HAWAII 96753
(20.903879752969715, -156.4872736145914)"
FRUITS BY THE SEA,131 SOUTH KIHEI ROAD,KIHEI,(808)281-9134,,POUONO HAFOKA,P O BOX 862,96753,COMMISSARY (MASS FEEDING/SUPPORT KITCHENS),,"131 SOUTH KIHEI ROAD
KIHEI, HAWAII 96753
(20.77916177394644, -156.46115730286053)"
MAUI EXECUTIVE CATERING,810 KOKOMO ROAD UNIT 150,HAIKU,(808)281-9923,,"MAUI EXECUTIVE CATERING, LLC",810 KOKOMO ROAD UNIT 150,96708,COMMISSARY (MASS FEEDING/SUPPORT KITCHENS),,"810 KOKOMO ROAD UNIT 150
HAIKU, HAWAII 96708
(20.91416799698493, -156.32307539848182)"
DEAD DOG COMMISSARY,1276 LOWER MAIN STREET,WAILUKU,(808)280-3676,,DEAD DOG VIII LLC,P O BOX 522,96767,COMMISSARY (MASS FEEDING/SUPPORT KITCHENS),,"1276 LOWER MAIN STREET
WAILUKU, HAWAII 96767
(20.896289475042465, -156.49195008914376)"
PORTO FLAME FIRED PIZZA,300 MAALAEA ROAD SUITE 211,WAILUKU,(808)856-8314,DIXIE@PACIFICWHALE.ORG,"SEA SPORT CRUISES, INC.",300 MAALAEA ROAD SUITE 211,96793,COMMISSARY (MASS FEEDING/SUPPORT KITCHENS),,"300 MAALAEA ROAD SUITE 211
WAILUKU, HAWAII 96793
(20.791356580663717, -156.51347086530492)"
TRIBE,810 HAIKU ROAD #404,HAIKU,(808)757-1741,,"TRIBE, LLC",72 SOUTH LANI KAI PLACE,96708,COMMISSARY (MASS FEEDING/SUPPORT KITCHENS),,"810 HAIKU ROAD #404
HAIKU, HAWAII 96708
(20.91423994274726, -156.32228399509603)"
BBQ STICKS,322 NORTH MARKET STREET,WAILUKU,(808)283-8544,,CHRISTOPHER ALEJO,246 HINA AVENUE,96732,COMMISSARY (MASS FEEDING/SUPPORT KITCHENS),,"322 NORTH MARKET STREET
WAILUKU, HAWAII 96732
(20.89211662082647, -156.5041179162002)"
GESTE SHRIMP,211 KAULAWAHINE STREET,KAHULUI,(808)250-1132,CHAM5978@AOL.COM,GESTE ORNELLAS,135 POLANI STREET,96732,COMMISSARY (MASS FEEDING/SUPPORT KITCHENS),,"211 KAULAWAHINE STREET
KAHULUI, HAWAII 96732
(20.884987327814304, -156.4664954130908)"
TACOS Y MARISCOS EL CHAPARRITO COMMISSARY,3350 LOWER HONOAPIILANI ROAD,LAHAINA,(808)662-0890,,SERGIO GALLARDO,P O BOX 11973,96761,COMMISSARY (MASS FEEDING/SUPPORT KITCHENS),,"3350 LOWER HONOAPIILANI ROAD
LAHAINA, HAWAII 96761
(20.94628278665124, -156.6878494067862)"
ALOHA JEWELRY & GIFTS - COMMISSARY,2511 SOUTH KIHEI ROAD #102,KIHEI,(808)276-7058,,ALOHA JEWELRY & GIFTS INC.,2511 SOUTH KIHEI ROAD #102,96753,COMMISSARY (MASS FEEDING/SUPPORT KITCHENS),,"2511 SOUTH KIHEI ROAD #102
KIHEI, HAWAII 96753
(20.717018621721763, -156.44625553683503)"
KULA ONIONS ETC.,830 KOLU STREET #4,WAILUKU,(808)878-6053,MR.WHITE05@ YAHOO.COM,"KULA ONIONS ETC., LLC",25 KAPIKI PLACE,96790,COMMISSARY (MASS FEEDING/SUPPORT KITCHENS),,"830 KOLU STREET #4
WAILUKU, HAWAII 96790
(20.903879752969715, -156.4872736145914)"
IHILANI MAIN KITCHEN & RESTAURANT,1 MANELE BAY ROAD,LANAI CITY,(808)565-2000,,"CASTLE & COOKE RESORTS, LLC",P O BOX 630310,96763,HOTEL MAIN KITCHEN (MASS FEEDING/SUPPORT KITCHENS),,"1 MANELE BAY ROAD
LANAI CITY, HAWAII 96763
(20.741696378635904, -156.8967335510238)"
IRON IMU BBQ COMMISSARY,5315 LOWER HONOAPIILANI ROAD,LAHAINA,(808)669-8181,,IRON IMU BBQ COMPANY LLC,101 HUI ROAD F #B2,96761,COMMISSARY (MASS FEEDING/SUPPORT KITCHENS),,"5315 LOWER HONOAPIILANI ROAD
LAHAINA, HAWAII 96761
(20.992292101670216, -156.6668952035035)"
MY OFFICE - COMMISSARY,2665 WAI WAI PLACE,KIHEI,(808)280-9201,,SHOYU & RICE LLC,25 WAIPAA LANE #204,96793,COMMISSARY (MASS FEEDING/SUPPORT KITCHENS),,"2665 WAI WAI PLACE
KIHEI, HAWAII 96793
(20.74473572666483, -156.44957403512316)"
AUNTY LIA'S BAKED GOODS,62 NORTH MARKET STREET #300,WAILUKU,(808)633-2483,EHULAKANOA@GMAIL.COM,ELIZABETH WEBER,54 ONE MALIA WAY,96793,COMMISSARY (MASS FEEDING/SUPPORT KITCHENS),,"62 NORTH MARKET STREET #300
WAILUKU, HAWAII 96793
(20.88879812253839, -156.502085448414)"
HAWAIIAN ARCTIC SHAVE ICE,1794 SOUTH KIHEI ROAD,KIHEI,(520)248-9701,AZJOHNF@YAHOO.COM,JOHN M. FORTIS,67 NOOLU STREET,96753,COMMISSARY (MASS FEEDING/SUPPORT KITCHENS),,"1794 SOUTH KIHEI ROAD
KIHEI, HAWAII 96753
(20.73509499451069, -156.4532612554433)"
MAIN KITCHEN,200 NOHEA KAI DRIVE,LAHAINA,(808)661-1234,,"CCHH MAUI, LLC",200 NOHEA KAI DRIVE,96761,HOTEL MAIN KITCHEN (MASS FEEDING/SUPPORT KITCHENS),,"200 NOHEA KAI DRIVE
LAHAINA, HAWAII 96761
(20.916152072725744, -156.6945616692168)"
ALII KITCHEN,2780 KEKAA DRIVE,LAHAINA,(808)661-3611,,"PLEASANT TRAVEL SERVICE, INC.",2780 KEKAA DRIVE,96761,HOTEL MAIN KITCHEN (MASS FEEDING/SUPPORT KITCHENS),,"2780 KEKAA DRIVE
LAHAINA, HAWAII 96761
(20.9329818138379, -156.69139273558164)"
MAIN KITCHEN/KO/CAFFE CIAO DELI,4100 WAILEA ALANUI DRIVE,KIHEI,(808)875-4100,TYLUN.PANG@FAIRMONT.COM,"FAIRMONT KEA LANI MAUI, THE",4100 WAILEA ALANUI DRIVE,96753,HOTEL MAIN KITCHEN (MASS FEEDING/SUPPORT KITCHENS),,"4100 WAILEA ALANUI DRIVE
KIHEI, HAWAII 96753
(20.67623436769304, -156.4406437673722)"
MAIN KITCHEN,2525 KAANAPALI PARKWAY,LAHAINA,(808)661-0011,,"KBHL, LLC",2525 KAANAPALI PARKWAY,96761,HOTEL MAIN KITCHEN (MASS FEEDING/SUPPORT KITCHENS),,"2525 KAANAPALI PARKWAY
LAHAINA, HAWAII 96761
(20.925058786759735, -156.6929665491329)"
LODGE AT KOELE - MAIN KITCHEN,1 KEOMUKU HIGHWAY,LANAI,(808)565-4533,,"CASTLE & COOKE RESORTS, LLC",P.O. BOX 631380,96763,HOTEL MAIN KITCHEN (MASS FEEDING/SUPPORT KITCHENS),,"1 KEOMUKU HIGHWAY
LANAI, HAWAII 96763
(20.826880000211986, -156.91995999975404)"
ISLAND TACOS - COMMISSARY,276 HALENANI DRIVE,WAILUKU,(808)280-8988,RON.S.DANIEL@GMAIL.COM,RON DANIEL,P O BOX 1269,96708,COMMISSARY (MASS FEEDING/SUPPORT KITCHENS),,"276 HALENANI DRIVE
WAILUKU, HAWAII 96708
(20.88469721408478, -156.49664455013672)"
HAWAII COCONUT COMPANY,41 LIPOA STREET #8A,KIHEI,(808)633-2259,,SHELL'S OF THE WORLD LLC,321 KINAOLE CIRCLE,96753,COMMISSARY (MASS FEEDING/SUPPORT KITCHENS),,"41 LIPOA STREET #8A
KIHEI, HAWAII 96753
(20.74778442834412, -156.4537468893391)"
ONO TACOS HAWAII COMMISSARY,4465 HONOAPIILANI HIGHWAY #218,LAHAINA,(808)357-3779,,JOSE MANUEL MEDINA CANO,3510 LOWER HONOAPIILANI ROAD #4,96761,COMMISSARY (MASS FEEDING/SUPPORT KITCHENS),,"4465 HONOAPIILANI HIGHWAY #218
LAHAINA, HAWAII 96761
(20.974108358878254, -156.67651932914063)"
AMIGOS EXPRESS,62 NORTH MARKET STREET,WAILUKU,(808)357-8001,,GR MEXICAN PRODUCTS LLC,P O BOX 12943,96761,COMMISSARY (MASS FEEDING/SUPPORT KITCHENS),,"62 NORTH MARKET STREET
WAILUKU, HAWAII 96761
(20.88879812253839, -156.502085448414)"
LUNCH WAGON OKAZU - COMMISSARY,1910A VINEYARD STREET,WAILUKU,(808)283-6614,PURALIRENE@HAWAII.RR.COM,JUAN RINCON,23 KUULA STREET,96732,COMMISSARY (MASS FEEDING/SUPPORT KITCHENS),,"1910A VINEYARD STREET
WAILUKU, HAWAII 96732
(20.881099999565492, -156.47198000027666)"
MAIN KITCHEN,2365 KAANAPALI PARKWAY,LAHAINA,(808)667-2525,,WESTIN MAUI CORP.,P O BOX 10400,85064,HOTEL MAIN KITCHEN (MASS FEEDING/SUPPORT KITCHENS),,"2365 KAANAPALI PARKWAY
LAHAINA, ARIZONA 85064
(33.500269999561, -112.17359999983995)"
MAIN KITCHEN,2605 KAANAPALI PARKWAY,LAHAINA,(808)661-0031,,"KYO-YA HOTELS & RESORTS, LP",2605 KAANAPALI PARKWAY,96761,HOTEL MAIN KITCHEN (MASS FEEDING/SUPPORT KITCHENS),,"2605 KAANAPALI PARKWAY
LAHAINA, HAWAII 96761
(20.926731525734226, -156.69338023726638)"
MOANA LOUNGE,2605 KAANAPALI PARKWAY,LAHAINA,(808)661-0031,,"KYO-YA HOTELS & RESORTS, LP",2605 KAANAPALI PARKWAY,96761,"SERVICE AREA, NO FOOD PREP (MEAL SITE) (RESTRICTED/SPECIALIZED KITCHENS)",,"2605 KAANAPALI PARKWAY
LAHAINA, HAWAII 96761
(20.926731525734226, -156.69338023726638)"
BANQUET KITCHEN/ BALLROOMS/ MEETING ROOMS,2605 KAANAPALI PARKWAY,LAHAINA,(808)661-0031,,"KYO-YA HOTELS & RESORTS, LP",2605 KAANAPALI PARKWAY,96761,BANQUET/CONVENTION SUPPORT KITCHEN (MASS FEEDING/SUPPORT KITCHENS),,"2605 KAANAPALI PARKWAY
LAHAINA, HAWAII 96761
(20.926731525734226, -156.69338023726638)"
EMPLOYEES' CAFETERIA,2525 KAANAPALI PARKWAY,LAHAINA,(808)661-0011,,"KBHL, LLC",2525 KAANAPALI PARKWAY,96761,"SERVICE AREA, NO FOOD PREP (MEAL SITE) (RESTRICTED/SPECIALIZED KITCHENS)",,"2525 KAANAPALI PARKWAY
LAHAINA, HAWAII 96761
(20.925058786759735, -156.6929665491329)"
MAIN KITCHEN,3850 WAILEA ALANUI DRIVE,KIHEI,(808)875-1234,,"MSR RESORT LODGING TENANT, LLC",3850 WAILEA ALANUI DRIVE,96753,HOTEL MAIN KITCHEN (MASS FEEDING/SUPPORT KITCHENS),,"3850 WAILEA ALANUI DRIVE
KIHEI, HAWAII 96753
(20.683860618501512, -156.43933975042972)"
ROOM SERVICE,3850 WAILEA ALANUI DRIVE,KIHEI,(808)875-1234,,"MSR RESORT LODGING TENANT, LLC",3850 WAILEA ALANUI DRIVE,96753,BANQUET/CONVENTION SUPPORT KITCHEN (MASS FEEDING/SUPPORT KITCHENS),,"3850 WAILEA ALANUI DRIVE
KIHEI, HAWAII 96753
(20.683860618501512, -156.43933975042972)"
MARRIOTT VACATION CLUB INTERNATIONAL SALES GALLERY,100 NOHEA KAI DRIVE,LAHAINA,(808)667-1200,,"MARRIOTT OWNERSHIP RESORTS,  INC.",100 NOHEA KAI DRIVE,96761,"SERVICE AREA, NO FOOD PREP (MEAL SITE) (RESTRICTED/SPECIALIZED KITCHENS)",,"100 NOHEA KAI DRIVE
LAHAINA, HAWAII 96761
(20.91616449188996, -156.6945403626842)"
MANELE BAY CONFERENCE CENTER KITCHEN,1 MANELE BAY ROAD,LANAI CITY,(808)565-2000,,"CASTLE & COOKE RESORTS, LLC",P. O. BOX 630310,96763,BANQUET/CONVENTION SUPPORT KITCHEN (MASS FEEDING/SUPPORT KITCHENS),,"1 MANELE BAY ROAD
LANAI CITY, HAWAII 96763
(20.741696378635904, -156.8967335510238)"
EMPLOYEE CAFETERIA,104 KAANAPALI SHORES PLACE,LAHAINA,(808)661-2000,,"WEST MAUI RESORT PARTNERS, L.P.",104 KAANAPALI SHORES PLACE,96761,"SERVICE AREA, NO FOOD PREP (MEAL SITE) (RESTRICTED/SPECIALIZED KITCHENS)",,"104 KAANAPALI SHORES PLACE
LAHAINA, HAWAII 96761
(20.9478835798634, -156.68994482711446)"
BANQUET KITCHEN,3900 WAILEA ALANUI DRIVE,KIHEI,(808)874-8000,,"3900 WA ASSOCIATES, LLC",3900 WAILEA ALANUI DRIVE,96753,BANQUET/CONVENTION SUPPORT KITCHEN (MASS FEEDING/SUPPORT KITCHENS),,"3900 WAILEA ALANUI DRIVE
KIHEI, HAWAII 96753
(20.679480920218793, -156.44112940126803)"
KANAHELE ROOM,2525 KAANAPALI PARKWAY,LAHAINA,(808)661-0011,,"KBHL, LLC",2525 KAANAPALI PARKWAY,96761,"SERVICE AREA, NO FOOD PREP (MEAL SITE) (RESTRICTED/SPECIALIZED KITCHENS)",,"2525 KAANAPALI PARKWAY
LAHAINA, HAWAII 96761
(20.925058786759735, -156.6929665491329)"
CONFERENCE PAVILION,3700 WAILEA ALANUI DRIVE,KIHEI,(808)879-1922,,BRE/WAILEA LLC,3700 WAILEA ALANUI DRIVE,96753,BANQUET/CONVENTION SUPPORT KITCHEN (MASS FEEDING/SUPPORT KITCHENS),,"3700 WAILEA ALANUI DRIVE
KIHEI, HAWAII 96753
(20.688015538311618, -156.43965069932614)"
CAFETERIA,ONE BAY DRIVE,LAHAINA,(808)662-6600,,AOAO OF KAPALUA BAY CONDOMINIUM ASSOCIATION,ONE BAY DRIVE,96761,BANQUET/CONVENTION SUPPORT KITCHEN (MASS FEEDING/SUPPORT KITCHENS),,"ONE BAY DRIVE
LAHAINA, HAWAII 96761
(21.001780961049906, -156.66449407933888)"
MAIN KITCHEN,ONE BAY DRIVE,LAHAINA,(808)662-6600,,AOAO OF KAPALUA BAY CONDOMINIUM ASSOCIATION,ONE BAY DRIVE,96761,HOTEL MAIN KITCHEN (MASS FEEDING/SUPPORT KITCHENS),,"ONE BAY DRIVE
LAHAINA, HAWAII 96761
(21.001780961049906, -156.66449407933888)"
LANI POOL DECK,5900 HONOAPIILANI ROAD,LAHAINA,(808)669-6271,,"NAPILI KAI, LIMITED",5900 HONOAPIILANI ROAD,96761,"SERVICE AREA, NO FOOD PREP (MEAL SITE) (RESTRICTED/SPECIALIZED KITCHENS)",,"5900 HONOAPIILANI ROAD
LAHAINA, HAWAII 96761
(21.00893999444003, -156.6456926042744)"
MAUI ADULT DAY CARE CENTERS,"11 MAHAOLU STREET, SUITE B",KAHULUI,(808)871-5804,,MAUI ADULT DAY CARE CENTERS,11 MAHAOLU STREET SUITE B,96732,"SERVICE AREA, NO FOOD PREP (MEAL SITE) (RESTRICTED/SPECIALIZED KITCHENS)",,"11 MAHAOLU STREET, SUITE B
KAHULUI, HAWAII 96732
(20.870182156531882, -156.47963837056264)"
EMPLOYEE BREAK ROOM,6 KAI ALA DRIVE,LAHAINA,(808)667-3200,,"FOH HOSPITALITY, LLC",6 KAI ALA DRIVE,96761,"SERVICE AREA, NO FOOD PREP (MEAL SITE) (RESTRICTED/SPECIALIZED KITCHENS)",,"6 KAI ALA DRIVE
LAHAINA, HAWAII 96761
(20.936165413821584, -156.6910509932105)"
SAINT JOSEPH CHURCH & SCHOOL,1294 MAKAWAO AVENUE,MAKAWAO,(808)572-7652,,"DIOCESE OF HONOLULU, ROMAN CATHOLIC CHURCH IN THE STATE OF HAWAII",1294 MAKAWAO AVENUE,96768,"SERVICE AREA, NO FOOD PREP (MEAL SITE) (RESTRICTED/SPECIALIZED KITCHENS)",,"1294 MAKAWAO AVENUE
MAKAWAO, HAWAII 96768
(20.85658440744885, -156.30838047652304)"
COUNTY OF MAUI NUTRITION PROGRAM,200 HINA AVENUE,KAHULUI,(808)270-6148,,HALE MAHAOLU,401 ALAKAPA AVENUE,96779,"SERVICE AREA, NO FOOD PREP (MEAL SITE) (RESTRICTED/SPECIALIZED KITCHENS)",,"200 HINA AVENUE
KAHULUI, HAWAII 96779
(20.883915376309066, -156.47483267623466)"
HALE MAHAOLU AKAHI,300 WEST WAKEA AVENUE,KAHULUI,(808)877-0544,,HALE MAHAOLU,300 WEST WAKEA AVENUE,96732,"SERVICE AREA, NO FOOD PREP (MEAL SITE) (RESTRICTED/SPECIALIZED KITCHENS)",,"300 WEST WAKEA AVENUE
KAHULUI, HAWAII 96732
(20.88380531139291, -156.4725603165771)"
"ALU LIKE, INC.",657 KAUMUALII STREET,WAILUKU,(808)870-3010,,"ALU LIKE, INC.",458 KEAWE STREET,96813,"SERVICE AREA, NO FOOD PREP (MEAL SITE) (RESTRICTED/SPECIALIZED KITCHENS)",,"657 KAUMUALII STREET
WAILUKU, HAWAII 96813
(21.310050000107594, -157.85408999985347)"
WILMER'S SNACK SHOP,221 MAHALANI STREET,WAILUKU,(808)242-8850,,WILMER GALIZA,221 MAHALANI STREET,96793,"SERVICE AREA, NO FOOD PREP (MEAL SITE) (RESTRICTED/SPECIALIZED KITCHENS)",,"221 MAHALANI STREET
WAILUKU, HAWAII 96793
(20.884139634426617, -156.48867655695713)"
HALE MAKANA O WAIALE,205 WAIMALUHIA LANE,WAILUKU,(808)242-8504,,MAUI ECONOMIC CONCERNS OF THE COMMUNITY INC.,670 WAIALE ROAD,96793,"SERVICE AREA, NO FOOD PREP (MEAL SITE) (RESTRICTED/SPECIALIZED KITCHENS)",,"205 WAIMALUHIA LANE
WAILUKU, HAWAII 96793
(20.872477426522785, -156.49923323780052)"
COUNTY OF MAUI NUTRITION PROGRAM,WAIKAPU COMMUNITY CENTER,WAILUKU,(808)270-6145,,COUNTY OF MAUI,401 ALAKAPA AVENUE,96779,"SERVICE AREA, NO FOOD PREP (MEAL SITE) (RESTRICTED/SPECIALIZED KITCHENS)",,"WAIKAPU COMMUNITY CENTER
WAILUKU, HAWAII 96779
(20.913539999971192, -156.38028999968358)"
COUNTY OF MAUI NUTRITION PROGRAM,KEANAE SCHOOL,HANA,(808)248-8065,,STATE OF HAWAII,401 ALAKAPA AVENUE,96779,"SERVICE AREA, NO FOOD PREP (MEAL SITE) (RESTRICTED/SPECIALIZED KITCHENS)",,"KEANAE SCHOOL
HANA, HAWAII 96779
(20.913539999971192, -156.38028999968358)"
COUNTY OF MAUI NUTRITION PROGRAM,WAILUKU COMMUNITY CENTER,WAILUKU,(808)270-6146,,COUNTY OF MAUI,401 ALAKAPA AVENUE,96779,"SERVICE AREA, NO FOOD PREP (MEAL SITE) (RESTRICTED/SPECIALIZED KITCHENS)",,"WAILUKU COMMUNITY CENTER
WAILUKU, HAWAII 96779
(20.913539999971192, -156.38028999968358)"
COUNTY OF MAUI NUTRITION PROGRAM,252 HANA HIGHWAY,PAIA,(808)579-9063,,COUNTY OF MAUI,401 ALAKAPA AVENUE,96779,"SERVICE AREA, NO FOOD PREP (MEAL SITE) (RESTRICTED/SPECIALIZED KITCHENS)",,"252 HANA HIGHWAY
PAIA, HAWAII 96779
(20.91861075307449, -156.37808624873475)"
NAPILI GARDENS,200 NOHEA KAI DRIVE,LAHAINA,(808)661-1234,,"CCHH MAUI, LLC",200 NOHEA KAI DRIVE,96761,"SERVICE AREA, NO FOOD PREP (MEAL SITE) (RESTRICTED/SPECIALIZED KITCHENS)",,"200 NOHEA KAI DRIVE
LAHAINA, HAWAII 96761
(20.916152072725744, -156.6945616692168)"
COUNTY OF MAUI NUTRITION PROGRAM,HANA COMMUNITY CENTER,HANA,(808)248-7279,,COUNTY OF MAUI,401 ALAKAPA AVENUE,96779,"SERVICE AREA, NO FOOD PREP (MEAL SITE) (RESTRICTED/SPECIALIZED KITCHENS)",,"HANA COMMUNITY CENTER
HANA, HAWAII 96779
(20.913539999971192, -156.38028999968358)"
COUNTY OF MAUI NUTRITION PROGRAM,300 WEST WAKEA AVENUE,KAHULUI,(808)270-6149,,HALE MAHAOLU,401 ALAKAPA AVENUE,96779,"SERVICE AREA, NO FOOD PREP (MEAL SITE) (RESTRICTED/SPECIALIZED KITCHENS)",,"300 WEST WAKEA AVENUE
KAHULUI, HAWAII 96779
(20.88380531139291, -156.4725603165771)"
SEA DOGS SERVICE AREA ANNEX,2365 KAANAPALI PARKWAY,LAHAINA,(808)667-2525,,WESTIN MAUI CORP.,P O BOX 10400,85064,"SERVICE AREA, NO FOOD PREP (MEAL SITE) (RESTRICTED/SPECIALIZED KITCHENS)",,"2365 KAANAPALI PARKWAY
LAHAINA, ARIZONA 85064
(33.500269999561, -112.17359999983995)"
COUNTY OF MAUI NUTRITION PROGRAM,UPCOUNTRY COMMUNITY CENTER,MAKAWAO,(808)270-7306,,COUNTY OF MAUI,401 ALAKAPA AVENUE,96779,"SERVICE AREA, NO FOOD PREP (MEAL SITE) (RESTRICTED/SPECIALIZED KITCHENS)",,"UPCOUNTRY COMMUNITY CENTER
MAKAWAO, HAWAII 96779
(20.913539999971192, -156.38028999968358)"
MAKENA BEACH AND GOLF RESORT - HALE KIPA,5415 MAKENA ALANUI ROAD,KIHEI,(808)874-1111,,ATC MAKENA S GOLF LLC,ONE ALOHA TOWER DRIVE SUITE 3100,96813,"SERVICE AREA, NO FOOD PREP (MEAL SITE) (RESTRICTED/SPECIALIZED KITCHENS)",,"5415 MAKENA ALANUI ROAD
KIHEI, HAWAII 96813
(20.64515379836041, -156.43899800805858)"
UP IN SMOKE BBQ,766 NAHIKU ROAD,HANA,(808)248-8235,,NAHIKU UP IN SMOKE INC.,P O BOX 774,96713,"SERVICE AREA, NO FOOD PREP (MEAL SITE) (RESTRICTED/SPECIALIZED KITCHENS)",,"766 NAHIKU ROAD
HANA, HAWAII 96713
(20.772940000280926, -156.01593000006932)"
HOTEL HANA - MAUI EMPLOYEE CAFETERIA,5031 HANA HIGHWAY,HANA,(808)248-8211,,"HEAVENLY HANA, LLC",1050 17TH STREET SUITE 1200,80265,"SERVICE AREA, NO FOOD PREP (MEAL SITE) (RESTRICTED/SPECIALIZED KITCHENS)",,"5031 HANA HIGHWAY
HANA, COLORADO 80265
(39.7482199995535, -104.99420999969158)"
TSUNAMI,3850 WAILEA ALANUI DRIVE,KIHEI,(808)875-1234,,"MSR RESORT LODGING TENANT, LLC",3850 WAILEA ALANUI DRIVE,96753,"SERVICE AREA, NO FOOD PREP (MEAL SITE) (RESTRICTED/SPECIALIZED KITCHENS)",,"3850 WAILEA ALANUI DRIVE
KIHEI, HAWAII 96753
(20.683860618501512, -156.43933975042972)"
COUNTY OF MAUI SENIOR NUTRITION PROGRAM - MOLOKAI,MAUNALOA ROAD,MAUNALOA,(808)553-5402,,COUNTY OF MAUI,P O BOX 1934,96748,"SERVICE AREA, NO FOOD PREP (MEAL SITE) (RESTRICTED/SPECIALIZED KITCHENS)",,"MAUNALOA ROAD
MAUNALOA, HAWAII 96748
(21.09778257570713, -157.04052753379648)"
COUNTY OF MAUI NUTRITION PROGRAM,3690 LOWER KULA ROAD,KULA,(808)270-7306,,COUNTY OF MAUI,401 ALAKAPA AVENUE,96779,"SERVICE AREA, NO FOOD PREP (MEAL SITE) (RESTRICTED/SPECIALIZED KITCHENS)",,"3690 LOWER KULA ROAD
KULA, HAWAII 96779
(20.77047603435926, -156.3282742077448)"
KAANAPALI SHORES LANAI LOUNGE,3445 LOWER HONOAPIILANI ROAD,LAHAINA,(808)667-3723,,"ASTON HOTELS & RESORTS, LLC",3445 LOWER HONOAPIILANI ROAD,96761,"SERVICE AREA, NO FOOD PREP (MEAL SITE) (RESTRICTED/SPECIALIZED KITCHENS)",,"3445 LOWER HONOAPIILANI ROAD
LAHAINA, HAWAII 96761
(20.948692969689773, -156.68814618305586)"
EMPLOYEE CAFETERIA,4100 WAILEA ALANUI DRIVE,KIHEI,(808)875-4100,TYLUNPANG@FAIRMONT.COM,"FAIRMONT KEA LANI MAUI, THE",4100 WAILEA ALANUI DRIVE,96753,"SERVICE AREA, NO FOOD PREP (MEAL SITE) (RESTRICTED/SPECIALIZED KITCHENS)",,"4100 WAILEA ALANUI DRIVE
KIHEI, HAWAII 96753
(20.67623436769304, -156.4406437673722)"
MAUI COAST HOTEL,2259 SOUTH KIHEI ROAD,KIHEI,(808)874-6284,,WC MAUI COAST LLC,2259 SOUTH KIHEI ROAD,96753,"SERVICE AREA, NO FOOD PREP (MEAL SITE) (RESTRICTED/SPECIALIZED KITCHENS)",,"2259 SOUTH KIHEI ROAD
KIHEI, HAWAII 96753
(20.723835482703862, -156.44773042496308)"
COUNTY OF MAUI NUTRITION PROGRAM - MOLOKAI,90 AINOA STREET,KAUNAKAKAI,(808)553-5402,,COUNTY OF MAUI,P O BOX 1934,96748,"SERVICE AREA, NO FOOD PREP (MEAL SITE) (RESTRICTED/SPECIALIZED KITCHENS)",,"90 AINOA STREET
KAUNAKAKAI, HAWAII 96748
(21.09025508255086, -157.01805326189358)"
COUNTY OF MAUI NUTRITIONAL PROGRAM - LANAI,LANAI SENIOR CENTER,LANAI,(808)565-6282,,STATE OF HAWAII,P.O. BOX 630198,96763,"SERVICE AREA, NO FOOD PREP (MEAL SITE) (RESTRICTED/SPECIALIZED KITCHENS)",,"LANAI SENIOR CENTER
LANAI, HAWAII 96763
(20.826880000211986, -156.91995999975404)"
COUNTY OF MAUI NUTRITION PROGRAM,303 EAST LIPOA STREET,KIHEI,(808)270-7306,,COUNTY OF MAUI,401 ALAKAPA AVENUE,96779,"SERVICE AREA, NO FOOD PREP (MEAL SITE) (RESTRICTED/SPECIALIZED KITCHENS)",,"303 EAST LIPOA STREET
KIHEI, HAWAII 96779
(20.748561753025488, -156.4479118577916)"
